date,location,customer_name,basket,pay_amount,payment_method,ccn
29/09/2020 09:00,Isle of Wight,Paul Kifer,"Regular Luxury hot chocolate - £2.40, Regular Flavoured hot chocolate - Hazelnut - £2.60",5.00,CASH,
29/09/2020 09:00,Isle of Wight,Thomas Mcdermott, Frappes - Strawberries & Cream - £2.75,2.75,CARD,46975498282144910
29/09/2020 09:01,Isle of Wight,Kaitlin Viens," Glass of milk - £0.70, Regular Americano - £1.95, Regular Espresso - £1.50,  Speciality Tea - Earl Grey - £1.30",5.45,CARD,48426132685286710
29/09/2020 09:01,Isle of Wight,Mark Pollitt,"Regular Chai latte - £2.30, Regular Americano - £1.95",4.25,CARD,366655474692117
29/09/2020 09:02,Isle of Wight,Stephen Kang," Frappes - Strawberries & Cream - £2.75, Large Flavoured latte - Gingerbread - £2.85",5.60,CARD,6011583565113445
29/09/2020 09:02,Isle of Wight,Daniel Mahoney," Flavoured iced latte - Vanilla - £2.75,  Iced americano - £2.15, Regular Hot chocolate - £2.20, Large Flavoured hot chocolate - Vanilla - £2.90",10.00,CARD,6011364582182899
29/09/2020 09:03,Isle of Wight,Janie Thomas," Iced latte - £2.35, Large Americano - £2.25,  Speciality Tea - Darjeeling - £1.30,  Hot Chocolate - £1.40,  Hot Chocolate - £1.40",8.70,CASH,
29/09/2020 09:03,Isle of Wight,Gregory Veach, Red Label tea - £1.20,1.20,CASH,
29/09/2020 09:04,Isle of Wight,John Walker," Frappes - Strawberries & Cream - £2.75, Large Flavoured latte - Caramel - £2.85, Large Flavoured latte - Vanilla - £2.85, Large Americano - £2.25",10.70,CARD,6011817824153614
29/09/2020 09:04,Isle of Wight,Richard Biles,"Regular Americano - £1.95, Large Chai latte - £2.60, Large Flavoured latte - Hazelnut - £2.85, Regular Filter coffee - £1.50, Regular Americano - £1.95",10.85,CASH,
29/09/2020 09:05,Isle of Wight,Robin Gardner,"Regular Flavoured latte - Hazelnut - £2.55, Regular Flavoured latte - Hazelnut - £2.55,  Flavoured iced latte - Caramel - £2.75,  Speciality Tea - Darjeeling - £1.30",9.15,CARD,4962637968233145
29/09/2020 09:05,Isle of Wight,Rhoda Deitz,"Regular Flavoured hot chocolate - Vanilla - £2.60,  Babyccino - £0.00",2.60,CARD,3539899691781910
29/09/2020 09:06,Isle of Wight,Sandra Hinderman,Regular Americano - £1.95,1.95,CARD,345361182288464
29/09/2020 09:06,Isle of Wight,Peggy Browne, Speciality Tea - Peppermint - £1.30,1.30,CASH,
29/09/2020 09:07,Isle of Wight,Anne Ribeiro, Smoothies - Carrot Kick - £2.00,2.00,CARD,6011338914532542
